customer_id,name,email,age,purchase_frequency,phone
76,Sergey Bezos,sergey.bezos@example.com,19,low,0724-879683
77,Bill Brin,invalid_email,,low,0720-699613
78,Jeff Torvalds,invalid_email,,low,0749-399909
79,Linus Zuckerberg,linus.zuckerberg@example.com,,high,0786-324617
80,Sundar Nadella,invalid_email,,low,0738-559798
81,Bill Pichai,bill.pichai@example.com,69,low,0759-941019
82,Bill Musk,bill.musk@example.com,100,high,0719-610495
83,Mark Pichai,mark.pichai@example.com,33,high,0737-439154
84,Linus Brin,linus.brin@example.com,81,high,0798-149196
85,Sundar Gates,sundar.gates@example.com,,low,0739-882383
86,Sergey Musk,invalid_email,,medium,0721-882078
87,Satya Jobs,invalid_email,100,high,0751-829938
88,Sergey Musk,sergey.musk@example.com,,medium,0743-489802
89,Sundar Pichai,sundar.pichai@example.com,38,medium,0761-663709
90,Larry Zuckerberg,larry.zuckerberg@example.com,18,low,0739-417977
91,Elon Gates,elon.gates@example.com,13,high,0788-482385
92,Steve Bezos,steve.bezos@example.com,22,high,0723-612888
93,Sergey Torvalds,sergey.torvalds@example.com,81,medium,0789-762374
94,Linus Musk,linus.musk@example.com,24,low,0759-540977
95,Elon Jobs,elon.jobs@example.com,97,medium,0754-411413
96,Jeff Nadella,jeff.nadella@example.com,25,high,0797-769274
97,Sergey Musk,sergey.musk@example.com,2,low,0783-969003
98,Linus Nadella,linus.nadella@example.com,76,high,0796-118035
99,Sundar Nadella,sundar.nadella@example.com,4,medium,0737-835475
100,Bill Pichai,bill.pichai@example.com,,medium,0796-194436
101,Mark Pichai,mark.pichai@example.com,94,low,0772-603441
102,Steve Page,steve.page@example.com,,high,0773-942361
103,Sundar Zuckerberg,sundar.zuckerberg@example.com,18,medium,0779-568719
104,Sergey Nadella,sergey.nadella@example.com,99,medium,0716-627093
105,Jeff Torvalds,invalid_email,14,low,0759-240725
106,Larry Nadella,larry.nadella@example.com,83,high,0722-193640
107,Mark Jobs,invalid_email,44,low,0797-420295
108,Elon Musk,elon.musk@example.com,57,medium,0742-113498
109,Mark Musk,mark.musk@example.com,,high,0745-898910
110,Linus Bezos,linus.bezos@example.com,,high,0735-262561
111,Bill Jobs,bill.jobs@example.com,22,medium,0794-541107
112,Sergey Torvalds,sergey.torvalds@example.com,,high,0729-825963
113,Linus Nadella,linus.nadella@example.com,25,low,0711-731999
114,Bill Musk,bill.musk@example.com,35,medium,0743-555901
115,Bill Musk,invalid_email,37,low,0742-624291
116,Sergey Gates,sergey.gates@example.com,47,low,0779-638488
117,Satya Page,satya.page@example.com,0,high,0780-875125
118,Elon Bezos,invalid_email,99,medium,0721-982009
119,Linus Zuckerberg,linus.zuckerberg@example.com,,medium,0789-964100
120,Sundar Bezos,sundar.bezos@example.com,55,low,0718-359402
121,Linus Musk,linus.musk@example.com,81,low,0785-969824
122,Larry Pichai,larry.pichai@example.com,65,low,0777-616010
123,Larry Page,larry.page@example.com,,high,0745-404956
124,Jeff Page,jeff.page@example.com,33,high,0788-229407
125,Mark Gates,mark.gates@example.com,38,medium,0744-174679
126,Elon Musk,elon.musk@example.com,66,high,0768-445131
127,Steve Musk,steve.musk@example.com,48,high,0757-187624
128,Larry Bezos,larry.bezos@example.com,17,low,0758-729441
129,Sergey Nadella,sergey.nadella@example.com,93,high,0732-469581
130,Bill Bezos,bill.bezos@example.com,,low,0729-751936
131,Satya Bezos,satya.bezos@example.com,98,medium,0713-207216
132,Sundar Nadella,sundar.nadella@example.com,7,low,0768-557036
133,Larry Pichai,larry.pichai@example.com,65,low,0719-890056
134,Sergey Page,sergey.page@example.com,86,medium,0755-943475
135,Sergey Torvalds,sergey.torvalds@example.com,77,medium,0784-355711
136,Satya Gates,satya.gates@example.com,96,low,0721-502476
137,Sundar Jobs,sundar.jobs@example.com,,low,0762-616974
138,Jeff Jobs,jeff.jobs@example.com,99,high,0752-879723
139,Larry Musk,larry.musk@example.com,35,low,0730-917735
140,Sergey Torvalds,sergey.torvalds@example.com,99,low,0796-145081
141,Larry Bezos,invalid_email,96,medium,0744-275316
142,Satya Page,satya.page@example.com,10,medium,0745-454700
143,Larry Gates,invalid_email,,low,0797-588201
144,Sergey Zuckerberg,sergey.zuckerberg@example.com,57,medium,0745-628152
145,Linus Zuckerberg,linus.zuckerberg@example.com,93,medium,0789-799622
146,Jeff Nadella,invalid_email,63,medium,0765-769601
147,Linus Pichai,linus.pichai@example.com,13,high,0744-841395
148,Larry Jobs,larry.jobs@example.com,30,high,0760-213891
149,Sergey Jobs,invalid_email,2,medium,0743-189927
150,Elon Nadella,elon.nadella@example.com,,medium,0734-275752
151,Satya Bezos,satya.bezos@example.com,80,low,0733-686594
152,Elon Zuckerberg,elon.zuckerberg@example.com,74,low,0712-855629
153,Steve Gates,steve.gates@example.com,34,medium,0773-328932
154,Jeff Page,jeff.page@example.com,41,low,0728-602484
155,Satya Nadella,satya.nadella@example.com,64,medium,0755-802854
156,Satya Nadella,satya.nadella@example.com,2,low,0720-717870
157,Steve Musk,steve.musk@example.com,77,medium,0711-863328
158,Linus Zuckerberg,linus.zuckerberg@example.com,89,medium,0798-562396
159,Satya Nadella,satya.nadella@example.com,75,high,0764-661254
160,Elon Zuckerberg,elon.zuckerberg@example.com,65,medium,0778-876967
161,Mark Musk,mark.musk@example.com,,medium,0744-474404
162,Sundar Musk,sundar.musk@example.com,65,low,0798-270588
163,Jeff Nadella,jeff.nadella@example.com,25,low,0713-930071
164,Bill Jobs,bill.jobs@example.com,69,high,0797-912711
165,Sergey Gates,invalid_email,35,low,0713-492760
166,Larry Brin,larry.brin@example.com,19,low,0786-865297
167,Sergey Jobs,sergey.jobs@example.com,61,high,0764-776779
168,Mark Jobs,mark.jobs@example.com,42,medium,0765-965538
169,Satya Torvalds,satya.torvalds@example.com,38,low,0727-656589
170,Linus Gates,linus.gates@example.com,97,low,0781-741146
171,Satya Musk,satya.musk@example.com,15,medium,0792-372679
172,Satya Torvalds,satya.torvalds@example.com,46,low,0732-694882
173,Sundar Musk,sundar.musk@example.com,84,high,0712-515143
174,Larry Jobs,larry.jobs@example.com,84,low,0762-924026
175,Mark Bezos,invalid_email,32,low,0774-738365
176,Elon Pichai,elon.pichai@example.com,,medium,0745-548471
177,Steve Page,steve.page@example.com,,medium,0721-818108
178,Sundar Zuckerberg,sundar.zuckerberg@example.com,79,low,0760-213012
179,Satya Musk,satya.musk@example.com,24,medium,0785-137478
180,Elon Jobs,invalid_email,23,medium,0794-670566
181,Elon Pichai,elon.pichai@example.com,42,high,0763-787033
182,Satya Torvalds,satya.torvalds@example.com,22,low,0766-160755
183,Elon Nadella,elon.nadella@example.com,48,high,0714-663160
184,Sergey Brin,sergey.brin@example.com,,low,0761-159648
185,Satya Gates,satya.gates@example.com,94,low,0726-401098
186,Elon Page,elon.page@example.com,66,medium,0735-279232
187,Jeff Zuckerberg,jeff.zuckerberg@example.com,,high,0757-388670
188,Sundar Musk,sundar.musk@example.com,90,high,0768-314668
189,Linus Gates,linus.gates@example.com,61,high,0775-374769
190,Sundar Brin,sundar.brin@example.com,33,high,0712-134277
191,Linus Nadella,linus.nadella@example.com,8,low,0777-991167
192,Sundar Musk,sundar.musk@example.com,53,medium,0759-975136
193,Satya Zuckerberg,satya.zuckerberg@example.com,41,medium,0722-160557
194,Linus Torvalds,linus.torvalds@example.com,56,high,0742-976193
195,Larry Bezos,larry.bezos@example.com,,medium,0754-354532
196,Larry Pichai,larry.pichai@example.com,9,high,0764-415684
197,Larry Torvalds,larry.torvalds@example.com,24,medium,0718-154039
198,Bill Bezos,bill.bezos@example.com,15,medium,0752-701797
199,Bill Gates,bill.gates@example.com,14,medium,0769-241604
200,Elon Gates,elon.gates@example.com,,medium,0713-264191
201,Linus Torvalds,linus.torvalds@example.com,69,high,0743-173393
202,Sergey Nadella,sergey.nadella@example.com,27,high,0779-306794
203,Jeff Jobs,invalid_email,73,medium,0744-449759
204,Elon Pichai,invalid_email,34,low,0783-642432
205,Jeff Gates,invalid_email,,low,0786-980511
206,Bill Brin,invalid_email,61,low,0720-293035
207,Elon Page,elon.page@example.com,,low,0746-111307
208,Bill Pichai,bill.pichai@example.com,84,medium,0773-676388
209,Larry Zuckerberg,invalid_email,78,medium,0745-876981
210,Jeff Pichai,jeff.pichai@example.com,62,low,0761-285094
211,Bill Pichai,bill.pichai@example.com,22,low,0715-252454
212,Steve Torvalds,steve.torvalds@example.com,22,low,0719-388949
213,Bill Pichai,bill.pichai@example.com,69,medium,0760-672823
214,Mark Torvalds,mark.torvalds@example.com,94,high,0789-767393
215,Steve Zuckerberg,steve.zuckerberg@example.com,85,low,0769-137692
216,Mark Torvalds,mark.torvalds@example.com,60,medium,0790-326755
217,Larry Brin,larry.brin@example.com,45,medium,0778-203988
218,Jeff Musk,jeff.musk@example.com,91,low,0723-176385
219,Larry Nadella,larry.nadella@example.com,96,high,0734-855502
220,Jeff Pichai,jeff.pichai@example.com,60,low,0775-525034
221,Steve Gates,steve.gates@example.com,83,high,0739-165362
222,Satya Bezos,satya.bezos@example.com,87,medium,0713-347806
223,Elon Gates,elon.gates@example.com,37,medium,0785-508275
224,Jeff Bezos,jeff.bezos@example.com,,low,0780-861642
225,Bill Musk,bill.musk@example.com,38,medium,0780-734353
226,Bill Torvalds,bill.torvalds@example.com,7,low,0757-881828
227,Bill Nadella,bill.nadella@example.com,83,high,0755-161977
228,Satya Musk,satya.musk@example.com,21,low,0776-216288
229,Linus Bezos,linus.bezos@example.com,,low,0720-918805
230,Sundar Torvalds,sundar.torvalds@example.com,,medium,0743-921893
231,Sundar Gates,sundar.gates@example.com,12,high,0745-960673
232,Linus Bezos,linus.bezos@example.com,100,high,0788-634534
233,Sergey Musk,sergey.musk@example.com,33,high,0763-482725
234,Elon Bezos,elon.bezos@example.com,17,medium,0742-109032
235,Bill Page,bill.page@example.com,24,high,0711-435472
236,Elon Page,elon.page@example.com,55,high,0759-266076
237,Steve Musk,steve.musk@example.com,21,medium,0795-410264
238,Larry Gates,larry.gates@example.com,,high,0755-172484
239,Bill Torvalds,bill.torvalds@example.com,79,low,0723-891460
240,Steve Brin,steve.brin@example.com,4,high,0711-176473
241,Larry Zuckerberg,invalid_email,82,low,0744-627399
242,Steve Nadella,invalid_email,33,medium,0771-262924
243,Bill Page,bill.page@example.com,29,high,0744-744780
244,Mark Page,mark.page@example.com,63,high,0714-474208
245,Bill Jobs,bill.jobs@example.com,20,high,0770-298512
246,Jeff Jobs,jeff.jobs@example.com,66,medium,0798-373496
247,Sundar Brin,sundar.brin@example.com,34,low,0788-625756
248,Mark Brin,mark.brin@example.com,,low,0749-773716
249,Sergey Musk,sergey.musk@example.com,10,medium,0793-894585
250,Satya Zuckerberg,satya.zuckerberg@example.com,21,medium,0771-760116
251,Jeff Pichai,jeff.pichai@example.com,14,high,0716-316680
252,Linus Jobs,linus.jobs@example.com,11,high,0798-420823
253,Sundar Torvalds,sundar.torvalds@example.com,60,high,0751-664079
254,Linus Brin,invalid_email,98,medium,0752-826607
255,Linus Nadella,linus.nadella@example.com,65,medium,0791-970564
256,Steve Torvalds,steve.torvalds@example.com,15,medium,0739-912472
257,Jeff Page,jeff.page@example.com,38,medium,0794-232504
258,Satya Nadella,satya.nadella@example.com,13,high,0781-414504
259,Elon Page,elon.page@example.com,63,medium,0762-880878
260,Jeff Musk,jeff.musk@example.com,78,medium,0766-313991
261,Larry Bezos,larry.bezos@example.com,19,medium,0731-965861
262,Bill Zuckerberg,bill.zuckerberg@example.com,20,medium,0781-464919
263,Bill Bezos,bill.bezos@example.com,13,medium,0780-849137
264,Satya Bezos,satya.bezos@example.com,89,low,0743-795281
265,Sergey Brin,invalid_email,,low,0721-352494
266,Sergey Zuckerberg,sergey.zuckerberg@example.com,87,low,0715-188592
267,Jeff Torvalds,jeff.torvalds@example.com,86,medium,0755-491912
268,Jeff Nadella,jeff.nadella@example.com,17,high,0757-497122
269,Larry Torvalds,larry.torvalds@example.com,17,low,0744-585989
270,Steve Gates,steve.gates@example.com,67,medium,0773-949429
271,Sergey Brin,invalid_email,2,medium,0710-136213
272,Sergey Jobs,sergey.jobs@example.com,82,low,0776-178205
273,Steve Bezos,steve.bezos@example.com,39,high,0796-575927
274,Mark Page,mark.page@example.com,35,high,0759-617003
275,Sergey Jobs,sergey.jobs@example.com,58,low,0766-955535
276,Mark Pichai,mark.pichai@example.com,46,medium,0756-396843
277,Elon Brin,elon.brin@example.com,,low,0792-865714
278,Larry Musk,larry.musk@example.com,90,low,0721-667171
279,Bill Jobs,invalid_email,49,low,0733-703217
280,Sundar Pichai,invalid_email,39,high,0716-605263
281,Mark Bezos,mark.bezos@example.com,42,medium,0714-610858
282,Mark Musk,invalid_email,27,high,0728-449843
283,Elon Brin,elon.brin@example.com,15,low,0776-432114
284,Sergey Page,sergey.page@example.com,68,high,0744-746979
285,Larry Gates,invalid_email,32,low,0766-816822
286,Linus Musk,linus.musk@example.com,,high,0732-891458
287,Steve Page,steve.page@example.com,72,high,0783-624858
288,Elon Zuckerberg,elon.zuckerberg@example.com,5,low,0724-392444
289,Larry Jobs,larry.jobs@example.com,64,medium,0781-265069
290,Bill Brin,bill.brin@example.com,20,medium,0782-544389
291,Satya Bezos,satya.bezos@example.com,64,medium,0772-954765
292,Bill Page,invalid_email,,high,0799-960326
293,Sergey Torvalds,sergey.torvalds@example.com,,high,0710-265324
294,Steve Gates,steve.gates@example.com,,medium,0782-499348
295,Steve Musk,steve.musk@example.com,25,high,0759-627632
296,Larry Pichai,larry.pichai@example.com,77,medium,0787-781035
297,Jeff Jobs,invalid_email,89,low,0718-911991
298,Satya Zuckerberg,satya.zuckerberg@example.com,,high,0720-283080
299,Bill Page,bill.page@example.com,,high,0799-934702
300,Satya Jobs,satya.jobs@example.com,95,low,0786-540074
301,Jeff Musk,jeff.musk@example.com,38,low,0798-305898
302,Sundar Bezos,sundar.bezos@example.com,96,low,0735-779292
303,Jeff Torvalds,invalid_email,51,low,0783-290817
304,Jeff Jobs,jeff.jobs@example.com,,low,0767-480009
305,Larry Jobs,larry.jobs@example.com,65,low,0798-877797
306,Larry Nadella,larry.nadella@example.com,77,high,0724-980912
307,Sundar Bezos,sundar.bezos@example.com,65,medium,0794-308329
308,Bill Brin,bill.brin@example.com,61,medium,0727-738215
309,Elon Gates,elon.gates@example.com,43,medium,0785-113688
310,Mark Page,mark.page@example.com,97,medium,0763-988242
311,Bill Bezos,invalid_email,29,medium,0728-927796
312,Satya Jobs,satya.jobs@example.com,29,low,0736-352830
313,Satya Gates,satya.gates@example.com,,medium,0733-954362
314,Mark Nadella,invalid_email,,medium,0778-457939
315,Elon Musk,elon.musk@example.com,42,high,0743-808071
316,Elon Jobs,elon.jobs@example.com,31,high,0711-909599
317,Bill Torvalds,invalid_email,10,high,0775-503417
318,Larry Gates,larry.gates@example.com,70,high,0730-813898
319,Sergey Brin,sergey.brin@example.com,5,high,0736-730889
320,Linus Musk,linus.musk@example.com,13,medium,0735-206874
321,Bill Pichai,bill.pichai@example.com,,medium,0732-207288
322,Sundar Gates,invalid_email,73,medium,0792-230544
323,Steve Nadella,steve.nadella@example.com,0,high,0773-319969
324,Sundar Page,sundar.page@example.com,11,medium,0715-574346
325,Satya Brin,invalid_email,,high,0720-236124
326,Linus Pichai,invalid_email,,low,0728-533311
327,Elon Zuckerberg,elon.zuckerberg@example.com,11,medium,0789-954951
328,Sergey Brin,sergey.brin@example.com,70,medium,0790-828611
329,Elon Gates,elon.gates@example.com,100,low,0746-511005
330,Elon Brin,elon.brin@example.com,7,low,0722-644061
331,Elon Bezos,elon.bezos@example.com,5,high,0725-904847
332,Bill Nadella,bill.nadella@example.com,64,medium,0782-830179
333,Steve Musk,steve.musk@example.com,30,high,0746-500405
334,Sundar Torvalds,sundar.torvalds@example.com,99,high,0773-686174
335,Steve Musk,steve.musk@example.com,,medium,0731-575881
336,Bill Page,invalid_email,64,high,0787-307324
337,Satya Nadella,satya.nadella@example.com,77,low,0787-564576
338,Sundar Jobs,sundar.jobs@example.com,6,low,0721-803326
339,Sundar Pichai,sundar.pichai@example.com,27,high,0736-518224
340,Bill Pichai,bill.pichai@example.com,98,low,0739-618135
341,Steve Jobs,steve.jobs@example.com,86,high,0725-584493
342,Elon Zuckerberg,elon.zuckerberg@example.com,,high,0751-400850
343,Linus Jobs,invalid_email,78,medium,0750-545253
344,Satya Zuckerberg,satya.zuckerberg@example.com,56,medium,0743-799784
345,Sergey Musk,sergey.musk@example.com,92,medium,0769-938551
346,Steve Torvalds,steve.torvalds@example.com,50,medium,0761-479744
347,Sundar Page,sundar.page@example.com,,low,0770-927533
348,Linus Bezos,linus.bezos@example.com,69,low,0770-791235
349,Mark Zuckerberg,mark.zuckerberg@example.com,71,low,0748-847056
350,Sergey Gates,sergey.gates@example.com,57,medium,0777-913289
351,Bill Torvalds,bill.torvalds@example.com,42,high,0786-996164
352,Sergey Musk,sergey.musk@example.com,76,medium,0799-885350
353,Sundar Gates,invalid_email,60,medium,0784-501093
354,Sundar Nadella,sundar.nadella@example.com,,high,0767-218135
355,Steve Torvalds,steve.torvalds@example.com,86,medium,0728-595709
356,Mark Musk,mark.musk@example.com,28,medium,0769-779904
357,Steve Musk,steve.musk@example.com,22,low,0756-284350
358,Bill Bezos,bill.bezos@example.com,10,high,0716-365341
359,Sergey Page,sergey.page@example.com,12,high,0770-261042
360,Mark Bezos,mark.bezos@example.com,24,high,0754-137130
361,Sergey Bezos,sergey.bezos@example.com,4,high,0726-801908
362,Sundar Page,sundar.page@example.com,85,low,0742-691500
363,Jeff Jobs,invalid_email,31,medium,0723-357200
364,Steve Nadella,steve.nadella@example.com,18,medium,0726-224467
365,Bill Zuckerberg,bill.zuckerberg@example.com,54,low,0711-955236
366,Linus Torvalds,linus.torvalds@example.com,78,low,0724-770912
367,Bill Pichai,bill.pichai@example.com,37,high,0766-322444
368,Sergey Bezos,sergey.bezos@example.com,46,high,0717-435786
369,Jeff Pichai,jeff.pichai@example.com,48,low,0771-507658
370,Bill Page,bill.page@example.com,91,high,0723-204920
371,Elon Gates,elon.gates@example.com,12,medium,0763-381815
372,Steve Gates,invalid_email,,medium,0756-857666
373,Larry Bezos,larry.bezos@example.com,39,medium,0759-437304
374,Jeff Jobs,jeff.jobs@example.com,83,low,0746-553615
375,Mark Brin,mark.brin@example.com,96,high,0776-293913
376,Sergey Brin,invalid_email,81,low,0775-121315
377,Mark Gates,invalid_email,15,high,0743-317916
378,Sergey Pichai,invalid_email,21,low,0798-898835
379,Sergey Pichai,sergey.pichai@example.com,52,medium,0781-604302
380,Jeff Brin,invalid_email,88,low,0727-549948
381,Satya Musk,satya.musk@example.com,93,medium,0735-164187
382,Mark Gates,invalid_email,,high,0714-208595
383,Mark Gates,mark.gates@example.com,57,high,0759-655616
384,Elon Nadella,elon.nadella@example.com,48,high,0746-701210
385,Bill Bezos,bill.bezos@example.com,,high,0719-654857
386,Bill Pichai,bill.pichai@example.com,,medium,0751-127293
387,Satya Musk,satya.musk@example.com,6,medium,0728-769894
388,Steve Bezos,steve.bezos@example.com,63,low,0792-684869
389,Sundar Page,sundar.page@example.com,9,medium,0714-841785
390,Jeff Nadella,jeff.nadella@example.com,9,high,0780-776237
391,Jeff Bezos,jeff.bezos@example.com,,medium,0770-791958
392,Mark Zuckerberg,mark.zuckerberg@example.com,64,high,0717-864086
393,Jeff Zuckerberg,jeff.zuckerberg@example.com,36,medium,0790-924637
394,Satya Pichai,satya.pichai@example.com,28,medium,0731-630505
395,Satya Pichai,satya.pichai@example.com,51,medium,0759-584358
396,Sergey Jobs,sergey.jobs@example.com,57,medium,0799-606201
397,Satya Gates,satya.gates@example.com,95,low,0796-748736
398,Elon Page,invalid_email,,low,0791-141965
399,Sundar Page,sundar.page@example.com,54,low,0734-221416
400,Sergey Zuckerberg,sergey.zuckerberg@example.com,15,medium,0771-453491
401,Linus Musk,linus.musk@example.com,42,high,0756-898002
402,Sundar Page,sundar.page@example.com,23,high,0777-814288
403,Jeff Zuckerberg,invalid_email,64,high,0794-507959
404,Larry Zuckerberg,larry.zuckerberg@example.com,86,low,0788-565382
405,Jeff Torvalds,jeff.torvalds@example.com,27,low,0724-858738
406,Sundar Pichai,sundar.pichai@example.com,32,low,0742-996344
407,Bill Torvalds,invalid_email,,high,0782-226385
408,Jeff Torvalds,jeff.torvalds@example.com,0,medium,0782-211436
409,Elon Brin,elon.brin@example.com,54,high,0736-259060
410,Mark Jobs,mark.jobs@example.com,57,low,0776-937359
411,Mark Brin,mark.brin@example.com,24,low,0789-347734
412,Sundar Gates,sundar.gates@example.com,,medium,0773-162350
413,Jeff Bezos,jeff.bezos@example.com,95,high,0789-718673
414,Sundar Bezos,sundar.bezos@example.com,10,low,0790-607848
415,Elon Torvalds,elon.torvalds@example.com,0,medium,0788-652840
416,Jeff Jobs,jeff.jobs@example.com,31,high,0772-548172
417,Steve Bezos,invalid_email,,low,0713-113510
418,Linus Zuckerberg,invalid_email,91,medium,0768-834835
419,Elon Musk,invalid_email,0,medium,0719-575689
420,Steve Bezos,steve.bezos@example.com,,medium,0738-650645
421,Sundar Torvalds,invalid_email,70,low,0785-457184
422,Satya Bezos,satya.bezos@example.com,,high,0778-238610
423,Sundar Pichai,invalid_email,50,low,0743-996060
424,Mark Gates,mark.gates@example.com,53,medium,0740-169365
425,Elon Zuckerberg,invalid_email,65,low,0795-563807
426,Bill Pichai,bill.pichai@example.com,55,medium,0727-874418
427,Bill Jobs,bill.jobs@example.com,,high,0787-695284
428,Satya Bezos,satya.bezos@example.com,14,high,0722-948628
429,Satya Nadella,satya.nadella@example.com,60,high,0728-458367
430,Sergey Nadella,sergey.nadella@example.com,,low,0752-890075
431,Linus Gates,linus.gates@example.com,80,high,0725-741687
432,Mark Brin,mark.brin@example.com,73,high,0761-704751
433,Linus Jobs,linus.jobs@example.com,87,low,0763-399669
434,Satya Pichai,satya.pichai@example.com,2,high,0786-391063
435,Jeff Bezos,jeff.bezos@example.com,15,low,0727-684241
436,Elon Brin,invalid_email,,low,0781-753106
437,Satya Gates,invalid_email,0,medium,0754-131916
438,Jeff Pichai,invalid_email,,medium,0737-586288
439,Bill Brin,bill.brin@example.com,81,medium,0797-637663
440,Mark Nadella,invalid_email,17,high,0757-755605
441,Sergey Torvalds,sergey.torvalds@example.com,24,high,0726-907585
442,Linus Musk,linus.musk@example.com,6,high,0728-669433
443,Elon Nadella,elon.nadella@example.com,55,medium,0712-625034
444,Jeff Jobs,invalid_email,67,high,0740-420911
445,Linus Page,linus.page@example.com,54,high,0747-344381
446,Satya Bezos,satya.bezos@example.com,19,low,0798-584258
447,Sundar Bezos,invalid_email,,high,0742-630743
448,Sergey Brin,sergey.brin@example.com,,low,0728-925702
449,Sergey Bezos,sergey.bezos@example.com,,high,0790-771607
450,Steve Jobs,steve.jobs@example.com,25,high,0729-402894
451,Satya Musk,satya.musk@example.com,,low,0772-233045
452,Bill Musk,bill.musk@example.com,38,low,0772-370698
453,Jeff Gates,jeff.gates@example.com,89,high,0735-366576
454,Steve Page,steve.page@example.com,,high,0736-506779
455,Jeff Bezos,jeff.bezos@example.com,14,low,0751-969740
456,Satya Jobs,satya.jobs@example.com,45,medium,0730-495471
457,Linus Bezos,invalid_email,9,medium,0798-887855
